PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,localidad,latitud,longitud
T2MWET,2020,18.05,18.16,18.49,18.93,19.0,18.0,17.76,18.02,18.03,17.97,18.06,17.87,18.19,Suba,4.7594,-74.09035
T2MWET,2021,17.64,18.24,17.91,18.5,18.38,17.78,17.71,17.91,18.05,18.52,18.19,18.54,18.11,Suba,4.7594,-74.09035
T2MWET,2022,17.88,18.05,18.19,18.32,18.34,17.68,17.85,17.6,17.91,17.81,17.78,17.35,17.9,Suba,4.7594,-74.09035
T2MWET,2023,16.97,17.8,18.12,18.4,18.96,18.1,18.31,18.13,18.74,18.7,18.62,18.87,18.31,Suba,4.7594,-74.09035
T2MWET,2024,18.37,19.39,19.86,19.45,19.41,18.73,18.43,18.2,18.62,18.5,18.07,18.52,18.79,Suba,4.7594,-74.09035
T2M_MAX,2020,29.95,30.53,29.01,28.49,29.43,26.81,26.68,28.81,29.04,29.55,28.23,29.64,30.53,Suba,4.7594,-74.09035
T2M_MAX,2021,29.82,30.26,28.11,28.69,30.34,28.89,29.94,31.23,30.73,31.25,29.75,30.25,31.25,Suba,4.7594,-74.09035
T2M_MAX,2022,31.6,29.92,27.85,27.57,27.66,25.33,26.17,26.55,27.11,26.94,25.64,25.64,31.6,Suba,4.7594,-74.09035
T2M_MAX,2023,25.94,27.12,27.87,27.54,28.47,27.94,28.45,29.85,30.6,29.03,28.07,29.91,30.6,Suba,4.7594,-74.09035
T2M_MAX,2024,31.57,31.32,32.92,32.39,27.76,26.98,27.11,28.78,30.51,29.48,26.87,27.21,32.92,Suba,4.7594,-74.09035
T2M_MIN,2020,12.11,12.52,12.61,15.54,15.35,13.55,13.23,13.14,13.69,14.62,15.51,13.94,12.11,Suba,4.7594,-74.09035
T2M_MIN,2021,13.46,15.58,15.81,15.17,14.76,13.04,13.58,14.52,14.27,15.8,15.42,15.58,13.04,Suba,4.7594,-74.09035
T2M_MIN,2022,14.86,14.82,14.84,14.53,14.69,13.73,13.88,13.61,14.03,13.78,14.27,13.28,13.28,Suba,4.7594,-74.09035
T2M_MIN,2023,10.99,12.81,14.87,14.96,15.13,14.04,14.12,13.42,14.32,14.16,15.06,15.5,10.99,Suba,4.7594,-74.09035
T2M_MIN,2024,14.22,16.17,16.72,16.21,16.02,14.04,13.53,13.12,14.56,14.08,14.23,15.4,13.12,Suba,4.7594,-74.09035
T2M_RANGE,2020,10.5,11.11,9.61,8.98,10.28,9.82,10.08,10.45,10.31,11.31,8.39,9.78,10.05,Suba,4.7594,-74.09035
T2M_RANGE,2021,10.84,10.09,8.57,9.24,10.42,10.03,12.06,12.13,12.43,10.42,9.32,9.58,10.43,Suba,4.7594,-74.09035
T2M_RANGE,2022,10.81,9.36,8.58,8.8,8.98,8.64,9.67,9.91,9.75,8.33,7.2,8.65,9.06,Suba,4.7594,-74.09035
T2M_RANGE,2023,8.54,9.99,7.97,8.0,9.22,10.73,10.77,11.99,11.97,9.31,8.71,9.37,9.71,Suba,4.7594,-74.09035
T2M_RANGE,2024,12.77,10.67,11.28,10.09,8.24,8.98,9.89,11.36,11.44,9.85,7.69,8.29,10.05,Suba,4.7594,-74.09035
TS,2020,20.76,21.46,21.07,21.4,22.09,20.31,20.21,20.81,20.84,21.85,20.61,21.28,21.06,Suba,4.7594,-74.09035
TS,2021,20.8,21.51,20.63,21.32,22.24,20.87,22.2,22.98,22.81,22.28,21.4,21.76,21.74,Suba,4.7594,-74.09035
TS,2022,21.8,21.41,20.54,20.58,20.34,19.51,19.98,19.95,20.3,19.61,19.15,19.07,20.18,Suba,4.7594,-74.09035
TS,2023,18.79,20.38,20.01,20.28,21.03,20.55,21.18,21.74,22.54,21.12,20.67,21.42,20.81,Suba,4.7594,-74.09035
TS,2024,23.15,23.28,24.52,22.87,21.15,20.63,20.57,21.15,22.2,20.99,19.5,20.33,21.69,Suba,4.7594,-74.09035
PS,2020,84.57,84.56,84.59,84.62,84.62,84.63,84.59,84.59,84.57,84.51,84.52,84.48,84.57,Suba,4.7594,-74.09035
PS,2021,84.45,84.45,84.49,84.5,84.6,84.65,84.64,84.63,84.61,84.55,84.51,84.48,84.55,Suba,4.7594,-74.09035
PS,2022,84.52,84.48,84.51,84.51,84.62,84.62,84.62,84.62,84.6,84.58,84.55,84.51,84.56,Suba,4.7594,-74.09035
PS,2023,84.59,84.52,84.57,84.53,84.59,84.62,84.62,84.6,84.54,84.56,84.5,84.49,84.56,Suba,4.7594,-74.09035
PS,2024,84.56,84.57,84.55,84.55,84.58,84.64,84.64,84.67,84.56,84.58,84.53,84.51,84.58,Suba,4.7594,-74.09035
WD10M,2020,42.6,68.8,21.3,28.8,114.1,116.9,132.3,129.1,124.0,120.5,347.9,25.9,73.0,Suba,4.7594,-74.09035
WD10M,2021,70.5,41.8,20.1,149.3,139.3,141.7,145.8,153.6,152.6,359.9,8.8,11.5,92.7,Suba,4.7594,-74.09035
WD10M,2022,21.0,21.5,6.9,35.0,146.0,150.8,125.1,143.3,112.4,7.3,344.0,22.4,41.3,Suba,4.7594,-74.09035
WD10M,2023,19.1,53.9,3.0,277.2,145.7,145.1,129.9,127.9,125.2,70.3,70.7,46.1,104.9,Suba,4.7594,-74.09035
WD10M,2024,78.4,39.5,35.2,53.4,150.3,130.3,156.3,126.1,128.6,82.8,17.2,14.7,85.1,Suba,4.7594,-74.09035
WD2M,2020,40.7,67.4,17.2,16.6,116.9,117.4,134.7,134.9,136.8,129.1,338.7,19.4,70.2,Suba,4.7594,-74.09035
WD2M,2021,66.4,34.8,9.3,160.7,146.3,142.9,145.5,155.3,154.9,350.1,5.8,8.3,90.0,Suba,4.7594,-74.09035
WD2M,2022,16.0,15.6,359.7,7.1,153.5,167.1,128.1,149.6,125.5,0.2,340.0,17.2,29.0,Suba,4.7594,-74.09035
WD2M,2023,14.5,49.8,354.8,268.2,151.9,146.2,130.7,130.3,129.0,56.2,66.4,41.1,107.7,Suba,4.7594,-74.09035
WD2M,2024,77.3,34.7,32.6,47.9,160.4,135.2,157.4,129.5,134.4,83.3,12.3,10.7,84.5,Suba,4.7594,-74.09035
WS10M,2020,1.99,1.84,1.69,1.32,1.32,1.45,1.37,1.47,1.42,1.6,1.38,1.41,1.52,Suba,4.7594,-74.09035
WS10M,2021,1.46,1.49,1.38,1.26,1.47,1.41,1.81,1.51,1.44,1.32,1.5,1.59,1.47,Suba,4.7594,-74.09035
WS10M,2022,1.8,1.53,1.48,1.46,1.34,1.32,1.38,1.46,1.28,1.53,1.54,1.53,1.47,Suba,4.7594,-74.09035
WS10M,2023,1.49,1.44,1.36,1.34,1.36,1.86,1.88,1.87,1.58,1.4,1.4,1.44,1.54,Suba,4.7594,-74.09035
WS10M,2024,1.89,1.66,1.47,1.42,1.34,1.33,1.66,1.49,1.52,1.49,1.53,1.4,1.52,Suba,4.7594,-74.09035
WS10M_MAX,2020,5.13,4.38,4.61,4.44,3.85,4.01,3.83,4.07,3.79,3.94,4.67,3.92,5.13,Suba,4.7594,-74.09035
WS10M_MAX,2021,3.75,4.93,3.65,3.76,4.51,4.71,5.51,5.78,4.3,3.8,4.35,4.45,5.78,Suba,4.7594,-74.09035
WS10M_MAX,2022,5.05,4.18,4.07,4.3,4.07,3.51,3.63,4.0,4.16,4.49,5.55,4.9,5.55,Suba,4.7594,-74.09035
WS10M_MAX,2023,5.0,3.46,3.74,3.6,3.8,4.78,5.65,5.09,3.71,3.82,3.33,4.24,5.65,Suba,4.7594,-74.09035
WS10M_MAX,2024,5.63,5.18,4.24,3.83,3.35,3.82,4.99,3.99,4.7,5.44,4.58,3.78,5.63,Suba,4.7594,-74.09035
WS10M_MIN,2020,0.24,0.17,0.04,0.07,0.01,0.09,0.0,0.04,0.08,0.07,0.03,0.13,0.0,Suba,4.7594,-74.09035
WS10M_MIN,2021,0.03,0.04,0.03,0.01,0.08,0.04,0.01,0.02,0.06,0.02,0.05,0.17,0.01,Suba,4.7594,-74.09035
WS10M_MIN,2022,0.11,0.14,0.11,0.03,0.03,0.07,0.03,0.08,0.12,0.03,0.18,0.1,0.03,Suba,4.7594,-74.09035
WS10M_MIN,2023,0.01,0.08,0.15,0.05,0.05,0.1,0.09,0.04,0.05,0.08,0.06,0.13,0.01,Suba,4.7594,-74.09035
WS10M_MIN,2024,0.14,0.11,0.08,0.03,0.05,0.08,0.06,0.05,0.11,0.12,0.07,0.08,0.03,Suba,4.7594,-74.09035
WS10M_RANGE,2020,2.39,2.16,2.32,2.04,1.98,2.35,1.93,2.06,1.97,2.16,2.07,2.02,2.12,Suba,4.7594,-74.09035
WS10M_RANGE,2021,2.01,2.27,2.03,2.14,2.21,1.94,2.39,2.19,2.07,2.09,2.08,2.27,2.14,Suba,4.7594,-74.09035
WS10M_RANGE,2022,2.45,2.08,2.28,2.31,2.06,1.91,1.89,2.07,1.84,2.41,2.37,2.17,2.15,Suba,4.7594,-74.09035
WS10M_RANGE,2023,2.16,2.1,2.12,2.18,2.16,2.61,2.41,2.09,1.91,2.05,1.92,2.35,2.17,Suba,4.7594,-74.09035
WS10M_RANGE,2024,2.16,2.17,2.35,2.01,1.95,1.98,2.39,2.12,1.83,1.96,2.28,2.11,2.11,Suba,4.7594,-74.09035
WS2M,2020,1.25,1.13,1.06,0.82,0.81,0.89,0.83,0.9,0.88,1.0,0.86,0.88,0.94,Suba,4.7594,-74.09035
WS2M,2021,0.88,0.94,0.88,0.79,0.95,0.87,1.16,0.99,0.93,0.87,0.97,1.03,0.94,Suba,4.7594,-74.09035
WS2M,2022,1.15,0.98,0.94,0.93,0.82,0.81,0.85,0.9,0.79,0.97,0.97,0.93,0.92,Suba,4.7594,-74.09035
WS2M,2023,0.92,0.87,0.86,0.83,0.83,1.15,1.18,1.14,0.97,0.86,0.85,0.88,0.95,Suba,4.7594,-74.09035
WS2M,2024,1.15,1.05,0.96,0.9,0.81,0.81,1.04,0.92,0.95,0.92,0.96,0.87,0.94,Suba,4.7594,-74.09035
WS2M_MAX,2020,3.67,3.12,3.19,3.24,2.74,2.84,2.69,2.87,2.76,2.83,3.34,2.8,3.67,Suba,4.7594,-74.09035
WS2M_MAX,2021,2.78,3.5,2.7,2.73,3.2,3.34,3.93,4.09,3.04,2.8,3.14,3.25,4.09,Suba,4.7594,-74.09035
WS2M_MAX,2022,3.73,3.01,2.98,3.16,2.82,2.49,2.56,2.9,2.92,3.26,3.87,3.52,3.87,Suba,4.7594,-74.09035
WS2M_MAX,2023,3.6,2.47,2.79,2.58,2.69,3.29,3.95,3.57,2.73,2.69,2.32,2.96,3.95,Suba,4.7594,-74.09035
WS2M_MAX,2024,3.96,3.78,3.14,2.76,2.31,2.66,3.46,2.77,3.32,3.86,3.21,2.76,3.96,Suba,4.7594,-74.09035
WS2M_MIN,2020,0.13,0.15,0.02,0.04,0.01,0.04,0.02,0.04,0.03,0.07,0.03,0.04,0.01,Suba,4.7594,-74.09035
WS2M_MIN,2021,0.02,0.03,0.05,0.03,0.03,0.01,0.04,0.04,0.04,0.02,0.02,0.09,0.01,Suba,4.7594,-74.09035
WS2M_MIN,2022,0.08,0.06,0.04,0.02,0.02,0.07,0.04,0.02,0.08,0.02,0.1,0.05,0.02,Suba,4.7594,-74.09035
WS2M_MIN,2023,0.02,0.07,0.04,0.04,0.01,0.07,0.01,0.04,0.06,0.05,0.01,0.07,0.01,Suba,4.7594,-74.09035
WS2M_MIN,2024,0.07,0.08,0.06,0.01,0.05,0.04,0.02,0.02,0.09,0.07,0.06,0.05,0.01,Suba,4.7594,-74.09035
WS2M_RANGE,2020,1.91,1.67,1.84,1.54,1.45,1.7,1.43,1.57,1.5,1.68,1.62,1.58,1.62,Suba,4.7594,-74.09035
WS2M_RANGE,2021,1.53,1.71,1.6,1.59,1.71,1.44,1.9,1.69,1.58,1.59,1.63,1.75,1.64,Suba,4.7594,-74.09035
WS2M_RANGE,2022,1.91,1.64,1.75,1.76,1.51,1.39,1.39,1.56,1.4,1.83,1.81,1.68,1.64,Suba,4.7594,-74.09035
WS2M_RANGE,2023,1.65,1.58,1.62,1.61,1.56,1.91,1.83,1.61,1.47,1.51,1.46,1.73,1.63,Suba,4.7594,-74.09035
WS2M_RANGE,2024,1.7,1.73,1.84,1.55,1.45,1.44,1.8,1.58,1.37,1.49,1.75,1.62,1.61,Suba,4.7594,-74.09035
ALLSKY_SFC_PAR_TOT,2020,8.89,9.07,7.76,7.91,7.73,7.96,7.92,7.89,8.79,8.28,7.67,8.24,8.17,Suba,4.7594,-74.09035
ALLSKY_SFC_PAR_TOT,2021,8.59,7.81,7.16,7.97,8.43,8.12,8.05,8.04,8.66,8.46,8.54,7.99,8.15,Suba,4.7594,-74.09035
ALLSKY_SFC_PAR_TOT,2022,8.32,7.47,7.74,7.55,7.9,7.34,7.7,8.32,8.27,8.46,7.72,8.57,7.95,Suba,4.7594,-74.09035
ALLSKY_SFC_PAR_TOT,2023,7.99,8.71,7.14,7.39,8.29,8.36,8.12,8.56,8.69,8.41,7.88,7.7,8.1,Suba,4.7594,-74.09035
ALLSKY_SFC_PAR_TOT,2024,9.4,8.34,7.67,8.06,7.52,7.77,8.23,8.49,8.38,9.06,7.48,7.58,8.17,Suba,4.7594,-74.09035
ALLSKY_SFC_SW_DIFF,2020,7.59,8.0,8.35,8.64,8.87,8.75,8.57,8.11,8.64,8.64,8.51,8.02,8.39,Suba,4.7594,-74.09035
ALLSKY_SFC_SW_DIFF,2021,7.93,8.46,8.34,8.89,8.82,8.61,8.53,8.84,8.6,8.66,7.94,8.02,8.47,Suba,4.7594,-74.09035
ALLSKY_SFC_SW_DIFF,2022,8.2,8.15,8.3,8.61,8.48,8.09,8.0,8.18,8.86,8.76,8.07,7.9,8.3,Suba,4.7594,-74.09035
ALLSKY_SFC_SW_DIFF,2023,7.65,8.21,7.84,8.79,8.96,8.72,8.44,8.5,8.48,8.88,8.32,7.65,8.37,Suba,4.7594,-74.09035
ALLSKY_SFC_SW_DIFF,2024,7.26,8.06,8.48,8.52,8.04,8.53,8.52,8.18,8.56,8.86,7.86,7.31,8.18,Suba,4.7594,-74.09035
ALLSKY_SFC_SW_DNI,2020,15.18,13.87,7.72,7.69,6.34,7.69,7.89,8.93,11.16,9.97,8.18,12.64,9.76,Suba,4.7594,-74.09035
ALLSKY_SFC_SW_DNI,2021,13.75,8.99,5.83,7.22,8.36,8.49,8.86,7.9,10.36,9.85,12.14,11.07,9.4,Suba,4.7594,-74.09035
ALLSKY_SFC_SW_DNI,2022,11.89,7.41,7.42,6.2,7.79,6.77,8.63,10.07,8.38,8.71,8.83,13.25,8.8,Suba,4.7594,-74.09035
ALLSKY_SFC_SW_DNI,2023,11.41,12.21,6.18,5.49,8.12,9.37,8.88,10.61,11.42,8.82,9.26,10.55,9.34,Suba,4.7594,-74.09035
ALLSKY_SFC_SW_DNI,2024,17.82,11.15,7.31,7.69,7.05,7.36,9.39,10.95,9.75,11.14,8.58,11.02,9.94,Suba,4.7594,-74.09035
ALLSKY_SFC_SW_DWN,2020,18.92,19.35,16.7,16.62,15.69,16.38,16.31,16.61,18.56,17.48,16.16,17.48,17.18,Suba,4.7594,-74.09035
