PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,localidad,latitud,longitud
GWETROOT,2021,0.75,0.73,0.74,0.8,0.75,0.73,0.71,0.65,0.64,0.65,0.67,0.62,0.7,Chapinero,4.6704,-74.04338
GWETROOT,2022,0.58,0.6,0.73,0.83,0.94,0.97,0.97,0.97,0.91,0.93,0.95,0.91,0.86,Chapinero,4.6704,-74.04338
GWETROOT,2023,0.9,0.81,0.83,0.9,0.95,0.97,0.96,0.93,0.89,0.91,0.94,0.9,0.91,Chapinero,4.6704,-74.04338
GWETROOT,2024,0.84,0.73,0.68,0.75,0.91,0.97,0.95,0.88,0.77,0.81,0.91,0.89,0.84,Chapinero,4.6704,-74.04338
GWETTOP,2020,0.79,0.73,0.74,0.84,0.89,0.93,0.93,0.89,0.89,0.81,0.76,0.7,0.83,Chapinero,4.6704,-74.04338
GWETTOP,2021,0.75,0.74,0.75,0.8,0.75,0.73,0.7,0.63,0.64,0.65,0.67,0.61,0.7,Chapinero,4.6704,-74.04338
GWETTOP,2022,0.57,0.61,0.75,0.83,0.92,0.93,0.93,0.92,0.89,0.9,0.91,0.88,0.84,Chapinero,4.6704,-74.04338
GWETTOP,2023,0.88,0.8,0.82,0.88,0.92,0.93,0.92,0.9,0.87,0.89,0.91,0.88,0.88,Chapinero,4.6704,-74.04338
GWETTOP,2024,0.82,0.74,0.7,0.77,0.89,0.93,0.91,0.86,0.77,0.82,0.89,0.88,0.83,Chapinero,4.6704,-74.04338
ALLSKY_SFC_LW_DWN,2020,31.45,31.78,32.74,32.62,32.56,31.87,31.94,32.02,32.2,32.19,32.21,32.08,32.14,Chapinero,4.6704,-74.04338
ALLSKY_SFC_LW_DWN,2021,31.83,33.35,33.06,32.29,32.28,31.9,31.94,32.09,31.99,32.28,31.96,32.3,32.27,Chapinero,4.6704,-74.04338
ALLSKY_SFC_LW_DWN,2022,31.9,32.56,32.51,33.42,32.98,32.95,32.91,32.53,33.11,33.09,33.04,32.59,32.8,Chapinero,4.6704,-74.04338
ALLSKY_SFC_LW_DWN,2023,32.45,32.87,33.71,33.32,33.15,32.73,33.16,33.11,33.52,33.66,33.53,33.61,33.24,Chapinero,4.6704,-74.04338
ALLSKY_SFC_LW_DWN,2024,32.78,34.25,34.67,34.04,33.94,33.44,33.04,33.09,33.66,33.33,33.5,33.62,33.61,Chapinero,4.6704,-74.04338
T2M,2020,15.86,16.22,16.44,16.3,15.79,14.73,14.44,15.09,15.34,15.49,16.49,16.39,15.71,Chapinero,4.6704,-74.04338
T2M,2021,15.19,16.06,15.73,15.82,15.97,15.11,14.98,15.62,15.64,16.44,16.21,16.71,15.79,Chapinero,4.6704,-74.04338
T2M,2022,16.28,16.09,15.94,15.66,15.2,14.58,14.4,14.35,15.17,15.73,15.84,14.98,15.35,Chapinero,4.6704,-74.04338
T2M,2023,14.51,15.01,15.75,15.83,15.93,14.7,14.99,15.13,15.93,16.11,16.06,16.32,15.53,Chapinero,4.6704,-74.04338
T2M,2024,15.96,17.08,17.45,16.77,16.39,15.44,14.97,15.19,16.11,16.23,16.09,16.15,16.15,Chapinero,4.6704,-74.04338
T2MDEW,2020,13.08,12.65,13.19,14.0,13.88,12.85,12.49,12.87,12.66,12.28,13.94,13.3,13.1,Chapinero,4.6704,-74.04338
T2MDEW,2021,12.04,13.11,13.09,13.62,13.66,12.7,12.52,12.35,12.07,13.67,13.53,13.36,12.98,Chapinero,4.6704,-74.04338
T2MDEW,2022,11.65,12.32,13.65,13.46,13.38,12.74,12.49,12.22,12.54,13.5,14.1,12.8,12.91,Chapinero,4.6704,-74.04338
