config_id,train_years,validation_year,n_train,n_validation,metrics_scale,objective,eval_metric,random_state,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,MAE,RMSE,R2,n_registros
26,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,1,0.8,0.8,0.0,5.0,1.4506038901259268,2.0908811194061325,0.03969568096063536,114
27,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,1,1.0,0.8,0.0,1.0,1.2546118802209325,1.8124171989362081,0.0426385791914351,114
27,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,1,1.0,0.8,0.0,1.0,1.4869859572044244,2.409726217483979,-0.14146383939180818,114
27,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,1,1.0,0.8,0.0,1.0,1.5580878024885207,2.101147316740266,0.030242368169334344,114
28,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,1,1.0,0.8,0.0,5.0,1.2622141694683648,1.8093194081841324,0.045908434343730375,114
28,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,1,1.0,0.8,0.0,5.0,1.4379697598192434,2.3436870329004655,-0.07975689704679256,114
28,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,1,1.0,0.8,0.0,5.0,1.5597592388007526,2.099776191364254,0.0315076059235293,114
29,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,3,0.8,0.8,0.0,1.0,1.2597973733354106,1.8099235319249407,0.04527119407532998,114
29,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,3,0.8,0.8,0.0,1.0,1.4527614347241913,2.4060677482680277,-0.1380005079494151,114
29,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,3,0.8,0.8,0.0,1.0,1.4333664595124949,2.0851796384551537,0.044925717059594694,114
30,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,3,0.8,0.8,0.0,5.0,1.2758821548036543,1.7983708834711294,0.057420265832603956,114
30,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,3,0.8,0.8,0.0,5.0,1.474672824876046,2.4353490131880906,-0.16586743339851573,114
30,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,3,0.8,0.8,0.0,5.0,1.4569061873105316,2.0897123754203784,0.040768947351419116,114
31,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,3,1.0,0.8,0.0,1.0,1.2514034315829405,1.8196527181777808,0.03497937803196738,114
31,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,3,1.0,0.8,0.0,1.0,1.4797627861041425,2.3925897343864366,-0.12528679493576456,114
31,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,3,1.0,0.8,0.0,1.0,1.555548847391699,2.1005014531563235,0.03083845667003271,114
32,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,3,1.0,0.8,0.0,5.0,1.2559873052651715,1.8079561844616576,0.04734560488311079,114
32,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,3,1.0,0.8,0.0,5.0,1.484051325156587,2.383507133920211,-0.11675952346035334,114
32,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,100,0.05,4,3,1.0,0.8,0.0,5.0,1.5604901799708928,2.100857237587532,0.030510114320899673,114
33,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,1,0.8,0.8,0.0,1.0,1.2388358165990305,1.8392232501449637,0.014109981475955657,114
33,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,1,0.8,0.8,0.0,1.0,1.4376014006367437,2.4007615449817816,-0.13298668105188538,114
