variable,rezago_bimestres,n_pares_validos,pearson,p_pearson,spearman,p_spearman,p_pearson_ajustado_bh,p_spearman_ajustado_bh,pearson_contemporaneo,spearman_contemporaneo,p_pearson_contemporaneo_ajustado_bh,p_spearman_contemporaneo_ajustado_bh,cambio_abs_pearson_vs_contemporaneo,cambio_abs_spearman_vs_contemporaneo,direccion_spearman,magnitud_spearman
WS2M,1,575,0.054014953206099274,0.195886973972875,-0.0540949637163172,0.19522452818795202,0.4294445198636106,0.408435822796781,0.041000390649216796,0.0037301421776201786,0.633415364533062,0.9661023397779878,0.013014562556882478,0.05036482153869702,negativa,muy debil
ALLSKY_SFC_LW_DWN,2,555,-0.0909186425605747,0.03223301233497019,-0.07927510033694095,0.061995915729997055,0.1184885589920183,0.21171155379597859,-0.02598749510435246,-0.001744414143975239,0.6651740051759569,0.9661023397779878,0.06493114745622225,0.07753068619296571,negativa,muy debil
ALLSKY_SFC_SW_DWN,2,555,0.0698191841897229,0.10035643107660513,0.10649817105234484,0.012058869549842609,0.2288126628546597,0.08591944554262859,-0.02895583733309122,-0.041180011423319875,0.6651740051759569,0.6425581961559887,0.04086334685663168,0.06531815962902496,positiva,debil
ALLSKY_SRF_ALB,2,555,0.07653017774475852,0.07162264375925972,0.08649099791999101,0.041668384606295364,0.21097071622675342,0.19792482687990298,-0.0057782624649145645,-0.023437685468466227,0.8880513315140894,0.7544776260575593,0.07075191527984395,0.06305331245152479,positiva,muy debil
CLOUD_AMT,2,555,-0.03287493161650934,0.43955502742501357,-0.07618559831920046,0.07291310497638735,0.6227385965568304,0.23089149909189327,-0.028706098576091972,-0.040695656812757774,0.6651740051759569,0.6425581961559887,0.004168833040417368,0.03548994150644269,negativa,muy debil
GWETPROF,2,555,-0.028859294835171544,0.49746208647035217,-0.028229458969611532,0.5068984503359241,0.6391886686953628,0.6879336111701827,0.013869348877240058,0.026709075430760745,0.76741462029377,0.7544776260575593,0.014989945957931485,0.001520383538850787,negativa,muy debil
GWETROOT,2,555,-0.022627807530140157,0.5947661362180835,-0.05291482442251018,0.2132596410353504,0.7213121226474629,0.41916550134534386,0.0269070965873541,0.021682770807636385,0.6651740051759569,0.7544776260575593,-0.004279289057213944,0.031232053614873793,negativa,muy debil
GWETTOP,2,555,-0.018551276462410622,0.6627705024559147,-0.05440453545889267,0.20063514102298013,0.7693939802433621,0.408435822796781,0.03890093002976974,0.03193467854989096,0.633415364533062,0.7482154039938858,-0.02034965356735912,0.02246985690900171,negativa,muy debil
ONI,2,555,-0.04843430877372063,0.2546478038955256,-0.07149368024544601,0.09244562757402786,0.500514649036033,0.2634700385859794,-0.01665062025278982,0.026144959721369276,0.747257903531267,0.7544776260575593,0.03178368852093081,0.045348720524076735,negativa,muy debil
PRECTOTCORR,2,555,-0.07117065186593177,0.0939315350615164,-0.059744392126173454,0.1598527384374416,0.22639461950700765,0.3961567865623553,0.05032561384631469,0.07068959917778032,0.5277519421286998,0.3721661893700528,0.020845038019617082,-0.01094520705160687,negativa,muy debil
PRECTOTCORR_SUM,2,555,-0.07094680914571042,0.09497235421317511,-0.05598977179822281,0.18780811862843635,0.22639461950700765,0.408435822796781,0.04771276511743548,0.06580007490748903,0.5341432395378048,0.3721661893700528,0.023234044028274933,-0.00981030310926622,negativa,muy debil
PS,2,555,-0.13409822703955102,0.0015437329469037472,-0.11109845217728544,0.008805395742780461,0.010999097246689198,0.07170107961978375,-0.14622360265039563,-0.06868027341610806,0.002732525915014197,0.3721661893700528,-0.012125375610844619,0.04241817876117737,negativa,debil
QV2M,2,555,-0.15614573753370375,0.0002216837857402408,-0.1470052770134225,0.0005121889854295173,0.0031589939467984315,0.009779931817394089,-0.021680885051481285,0.03836366090724774,0.7167920158554643,0.6458064644477809,0.13446485248222248,0.10864161610617476,negativa,debil
RH2M,2,555,-0.038738336562630205,0.3623485579877512,-0.07893063508942441,0.06314204236020414,0.5840331126414567,0.21171155379597859,0.03610580626622542,0.023155175066397804,0.6495738673883061,0.7544776260575593,0.0026325302964047836,0.05577546002302661,negativa,muy debil
T2M,2,555,-0.08290104644488598,0.050940942606355635,-0.08333570604886355,0.049733730630568046,0.16131298492012616,0.21171155379597859,-0.06681003780034138,-0.05267739646742537,0.3538985051461954,0.5972043238404563,0.016091008644544602,0.030658309581438177,negativa,muy debil
T2M_MAX,2,555,-0.05152706279178168,0.2255255981032343,-0.017847514259230812,0.6748178658664388,0.4591056818530127,0.7719889998920039,-0.06791236256097971,-0.04693205276773203,0.3538985051461954,0.6425581961559887,-0.01638529976919803,-0.02908453850850122,negativa,muy debil
T2M_MIN,2,555,-0.09038684375956092,0.03325994638372443,-0.08242043410067365,0.052304176422918944,0.1184885589920183,0.21171155379597859,-0.050390964956594536,-0.006660989738635005,0.5277519421286998,0.9661023397779878,0.039995878802966386,0.07575944436203864,negativa,muy debil
TS,2,555,-0.07507592628359484,0.07719833331924489,-0.059961527701257664,0.15833763088615935,0.21097071622675342,0.3961567865623553,-0.060428573200469626,-0.04368683823396342,0.42184942856742075,0.6425581961559887,0.014647353083125217,0.016274689467294247,negativa,muy debil
WS10M,2,555,0.15006131504833756,0.0003891336679770015,0.05753571125567399,0.17589055257195188,0.004436123814937817,0.40111816275509454,0.029408267999427178,0.0029816312245964593,0.6651740051759569,0.9661023397779878,0.12065304704891038,0.054554080031077534,positiva,muy debil
WS2M,2,555,0.1657123408209947,8.771784605894399e-05,0.07268858521267842,0.08711205932157798,0.0016666390751199358,0.26133617796473396,0.041000390649216796,0.0037301421776201786,0.633415364533062,0.9661023397779878,0.12471195017177791,0.06895844303505824,positiva,muy debil
ALLSKY_SFC_LW_DWN,3,535,-0.11442074139953728,0.00807125604005784,-0.10441213489282758,0.01569129318682505,0.03538935340640745,0.08944037116490279,-0.02598749510435246,-0.001744414143975239,0.6651740051759569,0.9661023397779878,0.08843324629518483,0.10266772074885235,negativa,debil
ALLSKY_SFC_SW_DWN,3,535,-0.032876516727573815,0.4479347799794745,-0.025032557696301878,0.5634389915720257,0.6227385965568304,0.7299096027183061,-0.02895583733309122,-0.041180011423319875,0.6651740051759569,0.6425581961559887,0.003920679394482596,-0.016147453727017997,negativa,muy debil
ALLSKY_SRF_ALB,3,535,0.10938301159353205,0.011350481907964184,0.14632967306894437,0.0006863110047294097,0.04621267633956846,0.009779931817394089,-0.0057782624649145645,-0.023437685468466227,0.8880513315140894,0.7544776260575593,0.10360474912861747,0.12289198760047815,positiva,debil
CLOUD_AMT,3,535,0.07218685742862842,0.09532405031874006,0.036794633518904385,0.3956813551504409,0.22639461950700765,0.5783035190660291,-0.028706098576091972,-0.040695656812757774,0.6651740051759569,0.6425581961559887,0.043480758852536446,-0.0039010232938533895,positiva,muy debil
GWETPROF,3,535,0.019054059861069315,0.6601321130275098,0.031418726978894834,0.46833146454536856,0.7693939802433621,0.6673723369771503,0.013869348877240058,0.026709075430760745,0.76741462029377,0.7544776260575593,0.005184710983829256,0.004709651548134089,positiva,muy debil
GWETROOT,3,535,0.02919954626056888,0.5003421692677321,0.01436755848379446,0.7402197045282848,0.6391886686953628,0.8113946761175429,0.0269070965873541,0.021682770807636385,0.6651740051759569,0.7544776260575593,0.0022924496732147776,-0.007315212323841925,positiva,muy debil
GWETTOP,3,535,0.036535934975938385,0.3990139287365837,0.017240408544163806,0.6907269999033718,0.6146971334590614,0.7719889998920039,0.03890093002976974,0.03193467854989096,0.633415364533062,0.7482154039938858,-0.0023649950538313577,-0.014694270005727154,positiva,muy debil
ONI,3,535,-0.076333130407618,0.07772605334669863,-0.0924114557610924,0.032593245743140695,0.21097071622675342,0.16889227339627452,-0.01665062025278982,0.026144959721369276,0.747257903531267,0.7544776260575593,0.05968251015482817,0.06626649603972312,negativa,muy debil
PRECTOTCORR,3,535,0.013624423445147133,0.7532086489136369,0.04663875894190164,0.28156047609205975,0.7805980543286782,0.45854134677849734,0.05032561384631469,0.07068959917778032,0.5277519421286998,0.3721661893700528,-0.03670119040116756,-0.02405084023587868,positiva,muy debil
PRECTOTCORR_SUM,3,535,0.015640897676460378,0.7181361424422952,0.051623002345587914,0.23324336512716246,0.7723857126816611,0.4222739852672904,0.04771276511743548,0.06580007490748903,0.5341432395378048,0.3721661893700528,-0.03207186744097511,-0.014177072561901115,positiva,muy debil
PS,3,535,-0.14251341839479642,0.0009479969777222524,-0.05197980929075411,0.23002444923758725,0.007719403961452626,0.4222739852672904,-0.14622360265039563,-0.06868027341610806,0.002732525915014197,0.3721661893700528,-0.0037101842555992137,-0.016700464125353955,negativa,muy debil
QV2M,3,535,-0.12289544423312943,0.004417090021906754,-0.10578699849038281,0.014364780422312038,0.020981177604057082,0.08944037116490279,-0.021680885051481285,0.03836366090724774,0.7167920158554643,0.6458064644477809,0.10121455918164814,0.06742333758313507,negativa,debil
RH2M,3,535,0.0433856613600217,0.31651857931170363,0.017277731633089575,0.6900920699359854,0.5774646144090149,0.7719889998920039,0.03610580626622542,0.023155175066397804,0.6495738673883061,0.7544776260575593,0.007279855093796278,-0.005877443433308229,positiva,muy debil
T2M,3,535,-0.12709393140557076,0.0032319972650199885,-0.15041534367772133,0.0004814695007180298,0.018422384410613935,0.009779931817394089,-0.06681003780034138,-0.05267739646742537,0.3538985051461954,0.5972043238404563,0.060283893605229386,0.09773794721029597,negativa,debil
T2M_MAX,3,535,-0.1306435006617625,0.002464135959890207,-0.1338340885882585,0.0019201140409671232,0.015606194412637978,0.01824108338918767,-0.06791236256097971,-0.04693205276773203,0.3538985051461954,0.6425581961559887,0.06273113810078279,0.08690203582052645,negativa,debil
T2M_MIN,3,535,-0.08623736136736855,0.04618201721793576,-0.08077853778844685,0.06188833458381315,0.15484558714249047,0.21171155379597859,-0.050390964956594536,-0.006660989738635005,0.5277519421286998,0.9661023397779878,0.035846396410774015,0.07411754804981184,negativa,muy debil
TS,3,535,-0.12474694880022011,0.003852995868001643,-0.1344467622081468,0.001829184238231304,0.019965524043281238,0.01824108338918767,-0.060428573200469626,-0.04368683823396342,0.42184942856742075,0.6425581961559887,0.06431837559975048,0.09075992397418339,negativa,debil
WS10M,3,535,0.1852796898610865,1.611231334493966e-05,0.012816883498337745,0.767402584635078,0.0004592009303307803,0.8253197608339519,0.029408267999427178,0.0029816312245964593,0.6651740051759569,0.9661023397779878,0.15587142186165934,0.009835252273741286,positiva,muy debil
WS2M,3,535,0.2103402166758993,9.162348063492007e-07,0.026272153362270477,0.5442757224310548,5.222538396190444e-05,0.7214817715946541,0.041000390649216796,0.0037301421776201786,0.633415364533062,0.9661023397779878,0.16933982602668252,0.0225420111846503,positiva,muy debil
