modelo,iteracion,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,MAE_train,RMSE_train,R2_train,MAE_val_2023,RMSE_val_2023,R2_val_2023
XGBoost_con_latitud_longitud,7,200,0.03,3,3,1.0,0.8,0.4501601009925464,0.8155700622237392,0.9409745751903646,0.9714138139082934,2.5564371053799837,-0.2506334537599608
XGBoost_con_latitud_longitud,5,200,0.03,3,3,0.8,0.8,0.47135681317726585,0.8085770962070119,0.9419824425137961,1.0013319448668163,2.556731247420939,-0.2509212645094565
XGBoost_con_latitud_longitud,11,200,0.03,4,1,1.0,0.8,0.28004402030162917,0.43797750945376795,0.982977623581565,0.9257705775226878,2.5575909875273206,-0.25176268888933917
XGBoost_con_latitud_longitud,6,200,0.03,3,3,0.8,1.0,0.4662265147920164,0.7925161876797255,0.9442643777526989,0.9742092840957234,2.5669863852894537,-0.26097636714265504
XGBoost_con_latitud_longitud,39,400,0.03,3,3,1.0,0.8,0.31762150068325584,0.5302436906027854,0.9750501700679708,0.9831586420244273,2.5703357835014873,-0.26426915235440296
XGBoost_con_latitud_longitud,24,200,0.05,3,3,1.0,1.0,0.34419330489796324,0.578419282477188,0.9703105538935556,0.9687696411823455,2.5720371528564696,-0.2659434088485457
XGBoost_con_latitud_longitud,2,200,0.03,3,1,0.8,1.0,0.4458097333498947,0.7378136945859972,0.9516930081183834,1.0120487754203318,2.5741770720382653,-0.2680507995005572
XGBoost_con_latitud_longitud,43,400,0.03,4,1,1.0,0.8,0.17238950933099376,0.2571759017008557,0.99413082426957,0.9001598552930693,2.57623362875706,-0.27007774639283877
XGBoost_con_latitud_longitud,23,200,0.05,3,3,1.0,0.8,0.35353633448409394,0.6114689407156186,0.9668208409070809,0.9550404405587,2.5787403931357007,-0.27255060800286945
XGBoost_con_latitud_longitud,34,400,0.03,3,1,0.8,1.0,0.2847703705905893,0.4322441377130127,0.9834203715269317,1.0045831664155789,2.579569097260583,-0.273368633259526
XGBoost_con_latitud_longitud,38,400,0.03,3,3,0.8,1.0,0.30578603837638196,0.4864272786409694,0.9790032336923021,0.97170799502325,2.590846094185592,-0.28452643647264675
XGBoost_con_latitud_longitud,21,200,0.05,3,3,0.8,0.8,0.34239672479012756,0.5606744949855336,0.9721042416872661,0.9969910191370016,2.5909801052328514,-0.28465932370616054
XGBoost_con_latitud_longitud,53,400,0.05,3,3,0.8,0.8,0.22835478920184593,0.33995567241002733,0.9897443980849739,0.9900367892291472,2.5917664854450244,-0.28543924785568997
XGBoost_con_latitud_longitud,44,400,0.03,4,1,1.0,1.0,0.16512532629041812,0.2435161881982164,0.9947377406953178,0.943323075951776,2.5920451064762764,-0.2857156382341206
XGBoost_con_latitud_longitud,37,400,0.03,3,3,0.8,0.8,0.3126457389275168,0.49769643748156883,0.9780190916869488,1.0051709644340419,2.5953391876979204,-0.28898559900660903
XGBoost_con_latitud_longitud,33,400,0.03,3,1,0.8,0.8,0.28914710740700406,0.44013971926200013,0.9828091363859325,0.9944303651199337,2.5969074985214835,-0.2905438853845357
XGBoost_con_latitud_longitud,51,400,0.05,3,1,1.0,0.8,0.22884774988509735,0.34033465570272314,0.9897215194066663,0.9194778927440604,2.6055725420605578,-0.29917051175486264
XGBoost_con_latitud_longitud,1,200,0.03,3,1,0.8,0.8,0.44831005009970454,0.7579609769075394,0.9490187752786202,1.0210489873745359,2.6114706118039432,-0.30505886898350365
XGBoost_con_latitud_longitud,52,400,0.05,3,1,1.0,1.0,0.23289650086101707,0.35079959112559017,0.9890796960214465,0.9527615498805578,2.6119590866960243,-0.3055471364817717
XGBoost_con_latitud_longitud,35,400,0.03,3,1,1.0,0.8,0.31351032872660706,0.49184019906588045,0.9785333332769252,0.989606566728278,2.614567137138988,-0.3081556250478563
XGBoost_con_latitud_longitud,54,400,0.05,3,3,0.8,1.0,0.22799338753171888,0.33482059712659423,0.990051882555429,0.956750188873001,2.619958947966183,-0.31355659587529106
XGBoost_con_latitud_longitud,22,200,0.05,3,3,0.8,1.0,0.3469462596019147,0.5517518166631717,0.9729850533557174,0.9734694969377558,2.637439588769704,-0.33114344612028246
XGBoost_con_latitud_longitud,3,200,0.03,3,1,1.0,0.8,0.44996000783358886,0.8047117097306826,0.9425358201626854,1.0169849258654449,2.6692966325033374,-0.36349482451268766
XGBoost_con_latitud_longitud,19,200,0.05,3,1,1.0,0.8,0.3387213965538883,0.532486900694058,0.9748386216885391,0.9714009847891044,2.6708763772616786,-0.3651091907534838
XGBoost_con_latitud_longitud,36,400,0.03,3,1,1.0,1.0,0.3124112863933067,0.48321229565843987,0.9792798677080987,0.9799429546635462,2.684027607533001,-0.3785857146885785
XGBoost_con_latitud_longitud,20,200,0.05,3,1,1.0,1.0,0.33604574378782387,0.5158034069895593,0.9763905981953287,0.9806664766935538,2.68482368769012,-0.37940361051259575
XGBoost_con_latitud_longitud,4,200,0.03,3,1,1.0,1.0,0.44673689462084315,0.7573581531918422,0.9490998361011344,1.0244967000031413,2.6958168571808234,-0.39072283623313164
XGBoost_sin_latitud_longitud,9,200,0.03,4,1,0.8,0.8,1.3387576971186776,1.973402829403974,0.65442042699947,2.0580242199266103,3.1456309585321636,-0.8935438092302064
XGBoost_sin_latitud_longitud,25,200,0.05,4,1,0.8,0.8,1.309862335727832,1.9417276356482596,0.6654252253608146,2.102307133515692,3.1595661469002576,-0.9103578202539855
XGBoost_sin_latitud_longitud,57,400,0.05,4,1,0.8,0.8,1.2927787835758902,1.9308639197067048,0.6691585578184053,2.1304534111822404,3.1767377238119896,-0.931179031608192
XGBoost_sin_latitud_longitud,41,400,0.03,4,1,0.8,0.8,1.3052630349949939,1.935027230933786,0.6677303050650207,2.110892667180598,3.183750750538239,-0.9397150586181466
XGBoost_sin_latitud_longitud,11,200,0.03,4,1,1.0,0.8,1.3178362594590007,1.9495944462454073,0.6627087082603627,2.074318191161255,3.1935584069890433,-0.9516841871978867
XGBoost_sin_latitud_longitud,27,200,0.05,4,1,1.0,0.8,1.2939827379426136,1.9309712773464318,0.6691217666769695,2.106623268315972,3.221420744495712,-0.9858878498698149
XGBoost_sin_latitud_longitud,43,400,0.03,4,1,1.0,0.8,1.2919144875299027,1.93036349428911,0.6693300251193816,2.0901673946492596,3.2219236859508116,-0.986507988231947
XGBoost_sin_latitud_longitud,59,400,0.05,4,1,1.0,0.8,1.2873853360712693,1.9297267672995417,0.6695481309570375,2.1059689826690065,3.2220030591958153,-0.986605866110394
XGBoost_sin_latitud_longitud,1,200,0.03,3,1,0.8,0.8,1.383449559510912,2.036689873899938,0.6318995241189718,2.2097407650412264,3.2925504391685254,-1.0745537432222014
XGBoost_sin_latitud_longitud,31,200,0.05,4,3,1.0,0.8,1.3054490680461308,1.9348302514409619,0.6677979495752664,2.147169213784828,3.32817921202027,-1.119694260912063
XGBoost_sin_latitud_longitud,13,200,0.03,4,3,0.8,0.8,1.3546871021471734,1.9979983819426015,0.6457524666115095,2.1838477561875598,3.3289921523993207,-1.120729899559243
XGBoost_sin_latitud_longitud,14,200,0.03,4,3,0.8,1.0,1.3538101219202423,1.996082522123018,0.646431509425375,2.129470419709542,3.329552218487364,-1.1214435382565222
XGBoost_sin_latitud_longitud,63,400,0.05,4,3,1.0,0.8,1.2891038340536924,1.9298508049348855,0.669505648480824,2.148510037697354,3.336162319587988,-1.1298752282313287
XGBoost_sin_latitud_longitud,45,400,0.03,4,3,0.8,0.8,1.3160137406266041,1.9442502791004945,0.6645553184705706,2.2065820290378872,3.354543315334079,-1.1534095005394835
