n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,MAE_val,RMSE_val,R2_val,MAE_test,RMSE_test,R2_test
200,0.05,4,1,1.0,1.0,1.0659240413609379,2.9285275111673372,0.5695232674850986,0.35380059674547876,0.4658738885467115,0.9573038487711101
200,0.05,3,3,1.0,1.0,1.1375233778855742,2.947623971424949,0.5638908229657965,0.42354911892668073,0.781062524103657,0.8799882993911996
400,0.03,3,3,1.0,0.8,1.0705227379658955,2.95256966308778,0.5624261375143795,0.42162674226302077,0.8085790412045365,0.8713834225052792
400,0.03,4,1,1.0,0.8,1.0068867397926848,2.958180298160313,0.5607615536657782,0.35790161797357434,0.5098367588513723,0.9488654688941422
200,0.03,4,3,1.0,1.0,1.0528406001892339,2.976552494467473,0.5552887065881421,0.45055971100471937,0.8346026734938614,0.8629713017947679
400,0.05,3,1,1.0,0.8,1.0923412555822862,3.0022753004456177,0.5475692726857793,0.35537646920763927,0.5937181005510405,0.9306554127528786
400,0.03,4,3,1.0,0.8,1.0436117818480495,3.0082370189785808,0.5457706750183029,0.42373185217586423,0.9035224882533223,0.8394057758545013
400,0.05,4,3,1.0,0.8,1.025220540778179,3.0140110498332064,0.5440252997915889,0.41162959694549245,0.8565607143002447,0.8556661180416995
200,0.03,3,1,1.0,1.0,1.2089534539894768,3.016965653807665,0.543130887014443,0.4943868534340405,0.6910099984391314,0.9060664682358837
200,0.05,3,3,1.0,0.8,1.0960752813163757,3.018117331182222,0.5427820157917956,0.4350333663557384,0.685700580506472,0.9075044108377526
200,0.03,4,1,1.0,0.8,1.053862802145472,3.0196512786614003,0.5423171388329173,0.4141192331606062,0.6013459387642263,0.9288621470599078
200,0.03,4,3,0.8,0.8,1.0596599424325772,3.0202137767072648,0.5421466094110368,0.44079613299562587,0.6612262157089799,0.9139893724675807
200,0.03,4,3,0.8,1.0,1.0873347020759825,3.0309513336795737,0.5388852733659344,0.4253070512538055,0.6569849302685139,0.9150892250272361
200,0.05,4,3,1.0,0.8,1.0211030371036938,3.0312470622336796,0.5387952874645477,0.4251265245649664,0.8353072174190458,0.862739853971621
200,0.03,3,1,1.0,0.8,1.2200969781804631,3.0415551077817753,0.5356532125993004,0.47941811007975516,0.6950269597659189,0.9049711900198123
200,0.05,3,1,1.0,0.8,1.1329089245680815,3.0445927114330877,0.5347252624018569,0.385955559107514,0.6089189326155233,0.9270591292326973
200,0.03,4,3,1.0,0.8,1.1015664334502822,3.134639892464435,0.506796240197674,0.4459594217746589,0.803290805863889,0.873060266786363
200,0.03,3,3,0.8,1.0,1.2039101149705007,3.1515351926832773,0.5014653043969679,0.4646066968088013,0.6231863660342833,0.9236009645708014
200,0.03,3,3,0.8,0.8,1.2115269153560577,3.1568340117335976,0.4997874770908747,0.4577017071612654,0.6198028769372493,0.924428304796227
200,0.03,3,3,1.0,0.8,1.2259136517194442,3.1862442466976884,0.4904237309757803,0.4892092024295133,0.6983055365212455,0.9040725368503204
200,0.03,3,3,1.0,1.0,1.2571258409812989,3.1877340578037443,0.48994708837618817,0.47203524035929617,0.6396619060453761,0.9195079544241621
