localidad,ano,bimestre,valor_real,prediccion,error,error_absoluto,modelo
BARRIOS UNIDOS,2024,2,10.732379174069107,11.477092,-0.744712615176498,0.744712615176498,XGBoost_con_latitud_longitud
BOSA,2024,2,9.56465808490901,9.634641,-0.06998260875554152,0.06998260875554152,XGBoost_con_latitud_longitud
CHAPINERO,2024,2,10.685633359876622,11.432535,-0.7469018116321671,0.7469018116321671,XGBoost_con_latitud_longitud
CIUDAD BOLIVAR,2024,2,11.000483769710852,10.790538,0.20994593554337193,0.20994593554337193,XGBoost_con_latitud_longitud
ENGATIVA,2024,2,10.377497586137912,10.226815,0.15068236244406386,0.15068236244406386,XGBoost_con_latitud_longitud
FONTIBON,2024,2,12.389308019568649,13.1389065,-0.7495984593131872,0.7495984593131872,XGBoost_con_latitud_longitud
KENNEDY,2024,2,10.28940351933042,10.468693,-0.1792892602105951,0.1792892602105951,XGBoost_con_latitud_longitud
LA CANDELARIA,2024,2,16.849002064693735,17.106302,-0.25730019665880377,0.25730019665880377,XGBoost_con_latitud_longitud
LOS MARTIRES,2024,2,11.310064985541493,11.832641,-0.5225756623466911,0.5225756623466911,XGBoost_con_latitud_longitud
PUENTE ARANDA,2024,2,15.125420386553035,16.415691,-1.2902709891793869,1.2902709891793869,XGBoost_con_latitud_longitud
RAFAEL URIBE URIBE,2024,2,11.28338404719874,11.394043,-0.11065892155125923,0.11065892155125923,XGBoost_con_latitud_longitud
SAN CRISTOBAL,2024,2,10.964617431033478,11.16431,-0.19969302428878777,0.19969302428878777,XGBoost_con_latitud_longitud
SANTA FE,2024,2,10.92882072977261,11.10727,-0.17844951101108109,0.17844951101108109,XGBoost_con_latitud_longitud
SUBA,2024,2,9.902885856283806,10.1467085,-0.24382263218054945,0.24382263218054945,XGBoost_con_latitud_longitud
SUMAPAZ,2024,2,22.0,12.455439,9.544561386108398,9.544561386108398,XGBoost_con_latitud_longitud
TEUSAQUILLO,2024,2,10.09315592024842,10.593424,-0.5002679231353699,0.5002679231353699,XGBoost_con_latitud_longitud
TUNJUELITO,2024,2,14.007601536772784,14.278817,-0.2712156400460639,0.2712156400460639,XGBoost_con_latitud_longitud
USAQUEN,2024,2,10.476219089234203,11.066189,-0.5899697230216567,0.5899697230216567,XGBoost_con_latitud_longitud
USME,2024,2,10.271404333072303,10.226513,0.04489142413675573,0.04489142413675573,XGBoost_con_latitud_longitud
ANTONIO NARINO,2024,3,10.693898255063273,11.407528,-0.7136296685207117,0.7136296685207117,XGBoost_con_latitud_longitud
BARRIOS UNIDOS,2024,3,11.02788996142492,11.651928,-0.6240379865731267,0.6240379865731267,XGBoost_con_latitud_longitud
BOSA,2024,3,9.598112473466493,9.4721575,0.12595499513397357,0.12595499513397357,XGBoost_con_latitud_longitud
CHAPINERO,2024,3,11.40855222784479,11.394513,0.014039097656802113,0.014039097656802113,XGBoost_con_latitud_longitud
CIUDAD BOLIVAR,2024,3,10.955546303324171,10.71104,0.24450676017231565,0.24450676017231565,XGBoost_con_latitud_longitud
ENGATIVA,2024,3,10.21859162616628,10.315829,-0.09723765087229452,0.09723765087229452,XGBoost_con_latitud_longitud
FONTIBON,2024,3,12.81182344484594,13.229734,-0.41791097593042714,0.41791097593042714,XGBoost_con_latitud_longitud
KENNEDY,2024,3,10.389192950878,10.76983,-0.3806367991830353,0.3806367991830353,XGBoost_con_latitud_longitud
LA CANDELARIA,2024,3,16.733420473307653,19.181248,-2.4478272378739874,2.4478272378739874,XGBoost_con_latitud_longitud
LOS MARTIRES,2024,3,11.137340850655182,12.119726,-0.9823853303750916,0.9823853303750916,XGBoost_con_latitud_longitud
PUENTE ARANDA,2024,3,15.21598083314425,16.56847,-1.3524891680764526,1.3524891680764526,XGBoost_con_latitud_longitud
RAFAEL URIBE URIBE,2024,3,11.13446700214009,11.653198,-0.5187312400474102,0.5187312400474102,XGBoost_con_latitud_longitud
SAN CRISTOBAL,2024,3,10.68659660618086,11.126021,-0.43942477901201116,0.43942477901201116,XGBoost_con_latitud_longitud
SANTA FE,2024,3,11.192153289491062,11.664002,-0.4718491290270048,0.4718491290270048,XGBoost_con_latitud_longitud
SUBA,2024,3,9.985130365416556,10.369398,-0.38426775164887417,0.38426775164887417,XGBoost_con_latitud_longitud
SUMAPAZ,2024,3,18.999999999999996,6.809845,12.190155029296871,12.190155029296871,XGBoost_con_latitud_longitud
TEUSAQUILLO,2024,3,10.537467935689149,10.84486,-0.30739214121514813,0.30739214121514813,XGBoost_con_latitud_longitud
TUNJUELITO,2024,3,13.981570293231018,15.25432,-1.2727498514223026,1.2727498514223026,XGBoost_con_latitud_longitud
USAQUEN,2024,3,10.24685452017917,10.752999,-0.5061447855459278,0.5061447855459278,XGBoost_con_latitud_longitud
USME,2024,3,10.124127025183999,10.100835,0.02329217868741651,0.02329217868741651,XGBoost_con_latitud_longitud
ANTONIO NARINO,2024,4,9.244175038934863,10.910929,-1.6667536872614264,1.6667536872614264,XGBoost_con_latitud_longitud
BARRIOS UNIDOS,2024,4,10.13724497178411,11.280973,-1.1437284626641322,1.1437284626641322,XGBoost_con_latitud_longitud
BOSA,2024,4,8.986675792835955,9.501543,-0.5148672522079902,0.5148672522079902,XGBoost_con_latitud_longitud
CHAPINERO,2024,4,10.26520185493747,11.555401,-1.2901989934512024,1.2901989934512024,XGBoost_con_latitud_longitud
CIUDAD BOLIVAR,2024,4,9.948590859516646,10.665166,-0.7165750416674364,0.7165750416674364,XGBoost_con_latitud_longitud
ENGATIVA,2024,4,9.573945290382813,10.081188,-0.5072429115214838,0.5072429115214838,XGBoost_con_latitud_longitud
FONTIBON,2024,4,11.771533605358382,12.708343,-0.9368089468266767,0.9368089468266767,XGBoost_con_latitud_longitud
KENNEDY,2024,4,9.60987653031743,10.362268,-0.7523919175585458,0.7523919175585458,XGBoost_con_latitud_longitud
LA CANDELARIA,2024,4,15.611233328750167,17.56545,-1.954217339584794,1.954217339584794,XGBoost_con_latitud_longitud
LOS MARTIRES,2024,4,10.341960584029321,11.563776,-1.2218154322060304,1.2218154322060304,XGBoost_con_latitud_longitud
PUENTE ARANDA,2024,4,14.376812441534142,15.834219,-1.457406537347694,1.457406537347694,XGBoost_con_latitud_longitud
RAFAEL URIBE URIBE,2024,4,10.20627413127413,11.18772,-0.98144616749296,0.98144616749296,XGBoost_con_latitud_longitud
SAN CRISTOBAL,2024,4,10.02104904936178,11.021818,-1.000769111648962,1.000769111648962,XGBoost_con_latitud_longitud
SANTA FE,2024,4,10.32593501081395,11.302187,-0.9762519551284328,0.9762519551284328,XGBoost_con_latitud_longitud
SUBA,2024,4,9.056744624659656,10.147617,-1.090872715428235,1.090872715428235,XGBoost_con_latitud_longitud
TEUSAQUILLO,2024,4,9.62754204145483,10.4411335,-0.8135914576906771,0.8135914576906771,XGBoost_con_latitud_longitud
TUNJUELITO,2024,4,12.61263666412408,14.149149,-1.5365122769159587,1.5365122769159587,XGBoost_con_latitud_longitud
USAQUEN,2024,4,9.978706683631463,10.877084,-0.8983770947498844,0.8983770947498844,XGBoost_con_latitud_longitud
USME,2024,4,9.576611452188043,10.152781,-0.5761690806488708,0.5761690806488708,XGBoost_con_latitud_longitud
ANTONIO NARINO,2024,5,8.814745075318656,10.934405,-2.1196602515246052,2.1196602515246052,XGBoost_con_latitud_longitud
BARRIOS UNIDOS,2024,5,9.724489795918366,11.233678,-1.509188068156341,1.509188068156341,XGBoost_con_latitud_longitud
BOSA,2024,5,8.627833355159394,9.625624,-0.9977903478435355,0.9977903478435355,XGBoost_con_latitud_longitud
CHAPINERO,2024,5,10.015843023255812,11.070989,-1.0551456318345203,1.0551456318345203,XGBoost_con_latitud_longitud
CIUDAD BOLIVAR,2024,5,9.012294659957577,10.78896,-1.7766657968905673,1.7766657968905673,XGBoost_con_latitud_longitud
ENGATIVA,2024,5,8.938284004793475,10.210601,-1.2723168481728333,1.2723168481728333,XGBoost_con_latitud_longitud
FONTIBON,2024,5,11.564809522720859,13.046555,-1.4817450427088286,1.4817450427088286,XGBoost_con_latitud_longitud
KENNEDY,2024,5,9.386469851469174,10.427762,-1.0412921800860016,1.0412921800860016,XGBoost_con_latitud_longitud
LA CANDELARIA,2024,5,11.609347826086962,16.75021,-5.140861982262647,5.140861982262647,XGBoost_con_latitud_longitud
LOS MARTIRES,2024,5,8.996991706867583,11.579344,-2.5823520889087845,2.5823520889087845,XGBoost_con_latitud_longitud
PUENTE ARANDA,2024,5,13.672493614303958,16.116507,-2.444012962234128,2.444012962234128,XGBoost_con_latitud_longitud
RAFAEL URIBE URIBE,2024,5,9.643767754451602,11.352654,-1.708886702640683,1.708886702640683,XGBoost_con_latitud_longitud
SAN CRISTOBAL,2024,5,8.892466507714186,11.130198,-2.237731017310228,2.237731017310228,XGBoost_con_latitud_longitud
SANTA FE,2024,5,10.029968744254461,11.028989,-0.9990200939413398,0.9990200939413398,XGBoost_con_latitud_longitud
SUBA,2024,5,8.851618714825339,10.141976,-1.290357641681009,1.290357641681009,XGBoost_con_latitud_longitud
TEUSAQUILLO,2024,5,9.34373867216909,10.511922,-1.1681832104603043,1.1681832104603043,XGBoost_con_latitud_longitud
TUNJUELITO,2024,5,11.547917464834978,14.189493,-2.6415757144863115,2.6415757144863115,XGBoost_con_latitud_longitud
USAQUEN,2024,5,9.230260446354189,10.737457,-1.5071968290364364,1.5071968290364364,XGBoost_con_latitud_longitud
USME,2024,5,9.110767020970984,10.246048,-1.1352809526618284,1.1352809526618284,XGBoost_con_latitud_longitud
ANTONIO NARINO,2024,6,9.81149379544879,11.169735,-1.3582411593851944,1.3582411593851944,XGBoost_con_latitud_longitud
BARRIOS UNIDOS,2024,6,10.20066992022187,11.50144,-1.3007701279959036,1.3007701279959036,XGBoost_con_latitud_longitud
BOSA,2024,6,8.997251669745628,9.600343,-0.6030910808036882,0.6030910808036882,XGBoost_con_latitud_longitud
CHAPINERO,2024,6,10.61109833409995,11.190958,-0.5798596889713394,0.5798596889713394,XGBoost_con_latitud_longitud
CIUDAD BOLIVAR,2024,6,10.14348267640046,10.777656,-0.6341729251010051,0.6341729251010051,XGBoost_con_latitud_longitud
ENGATIVA,2024,6,9.235609584001999,10.259787,-1.024177021832962,1.024177021832962,XGBoost_con_latitud_longitud
FONTIBON,2024,6,12.082004841951397,13.037358,-0.955353442045185,0.955353442045185,XGBoost_con_latitud_longitud
KENNEDY,2024,6,9.600109695033964,10.560396,-0.9602864994240434,0.9602864994240434,XGBoost_con_latitud_longitud
LA CANDELARIA,2024,6,15.829005221214626,18.210234,-2.3812284671398665,2.3812284671398665,XGBoost_con_latitud_longitud
LOS MARTIRES,2024,6,10.10764465259663,11.878935,-1.7712902076328625,1.7712902076328625,XGBoost_con_latitud_longitud
PUENTE ARANDA,2024,6,14.139061981000458,16.229929,-2.0908669893364564,2.0908669893364564,XGBoost_con_latitud_longitud
RAFAEL URIBE URIBE,2024,6,10.04483560278977,11.410608,-1.3657726888362074,1.3657726888362074,XGBoost_con_latitud_longitud
SAN CRISTOBAL,2024,6,9.908718036725588,11.136746,-1.2280283698295875,1.2280283698295875,XGBoost_con_latitud_longitud
SANTA FE,2024,6,10.44112962189263,11.394486,-0.953356805414499,0.953356805414499,XGBoost_con_latitud_longitud
SUBA,2024,6,9.272173625384362,9.28361,-0.01143671854874384,0.01143671854874384,XGBoost_con_latitud_longitud
TEUSAQUILLO,2024,6,9.808223551785886,10.62577,-0.8175460633874536,0.8175460633874536,XGBoost_con_latitud_longitud
TUNJUELITO,2024,6,12.702144537447339,14.452084,-1.7499390501991456,1.7499390501991456,XGBoost_con_latitud_longitud
USAQUEN,2024,6,9.56027872124374,10.632824,-1.0725452228480563,1.0725452228480563,XGBoost_con_latitud_longitud
USME,2024,6,9.373461318051577,10.23338,-0.8599189996364114,0.8599189996364114,XGBoost_con_latitud_longitud
ANTONIO NARINO,2024,1,11.036871238576422,12.634128,-1.597256378305902,1.597256378305902,XGBoost_sin_latitud_longitud
BARRIOS UNIDOS,2024,1,11.25153172266218,12.634128,-1.3825958942201435,1.3825958942201435,XGBoost_sin_latitud_longitud
BOSA,2024,1,9.622822534790625,12.634128,-3.011305082091699,3.011305082091699,XGBoost_sin_latitud_longitud
CHAPINERO,2024,1,11.412329843723242,12.077074,-0.6647442071800782,0.6647442071800782,XGBoost_sin_latitud_longitud
CIUDAD BOLIVAR,2024,1,10.86909424091507,12.634128,-1.7650333759672545,1.7650333759672545,XGBoost_sin_latitud_longitud
ENGATIVA,2024,1,10.204748104244752,12.634128,-2.4293795126375723,2.4293795126375723,XGBoost_sin_latitud_longitud
FONTIBON,2024,1,12.928098908909138,12.634128,0.29397129202681427,0.29397129202681427,XGBoost_sin_latitud_longitud
KENNEDY,2024,1,10.406741061261672,12.634128,-2.2273865556206527,2.2273865556206527,XGBoost_sin_latitud_longitud
LA CANDELARIA,2024,1,18.423087506879465,12.634128,5.788959889997141,5.788959889997141,XGBoost_sin_latitud_longitud
LOS MARTIRES,2024,1,11.441326930923008,12.634128,-1.192800685959316,1.192800685959316,XGBoost_sin_latitud_longitud
PUENTE ARANDA,2024,1,14.178904741778142,12.634128,1.544777124895818,1.544777124895818,XGBoost_sin_latitud_longitud
RAFAEL URIBE URIBE,2024,1,11.253094542194068,12.634128,-1.381033074688256,1.381033074688256,XGBoost_sin_latitud_longitud
SAN CRISTOBAL,2024,1,10.785881142090602,12.634128,-1.848246474791722,1.848246474791722,XGBoost_sin_latitud_longitud
SANTA FE,2024,1,11.30923158312392,12.634128,-1.3248960337584048,1.3248960337584048,XGBoost_sin_latitud_longitud
SUBA,2024,1,9.98751316755734,10.203055,-0.21554221421756203,0.21554221421756203,XGBoost_sin_latitud_longitud
SUMAPAZ,2024,1,20.0,13.533813,6.4661865234375,6.4661865234375,XGBoost_sin_latitud_longitud
