analisis,variable,n_observaciones,pearson,p_pearson,spearman,p_spearman,p_pearson_ajustado_bh,p_spearman_ajustado_bh,diferencia_abs_spearman_pearson,signo_pearson,signo_spearman,coincide_sentido,spearman_supera_pearson,magnitud_spearman
todos_596_registros,GWETPROF,596,0.013869348877240058,0.7354390111148629,0.026709075430760745,0.5151763387426277,0.76741462029377,0.7544776260575593,0.012839726553520687,positivo,positivo,True,False,muy debil
todos_596_registros,ONI,596,-0.01665062025278982,0.6849864115703281,0.026144959721369276,0.5240930936201937,0.747257903531267,0.7544776260575593,0.009494339468579454,negativo,positivo,False,False,muy debil
todos_596_registros,ALLSKY_SRF_ALB,596,-0.0057782624649145645,0.8880513315140894,-0.023437685468466227,0.5679562233020236,0.8880513315140894,0.7544776260575593,0.017659423003551663,negativo,negativo,True,False,muy debil
todos_596_registros,RH2M,596,0.03610580626622542,0.3789180893098453,0.023155175066397804,0.5726324726731337,0.6495738673883061,0.7544776260575593,0.012950631199827617,positivo,positivo,True,False,muy debil
todos_596_registros,GWETROOT,596,0.0269070965873541,0.5120650356292522,0.021682770807636385,0.5972947872955677,0.6651740051759569,0.7544776260575593,0.005224325779717716,positivo,positivo,True,False,muy debil
todos_596_registros,BIMESTRE_cos,596,-0.017045891825204967,0.6779224473022111,-0.01715142798671345,0.676041128285982,0.747257903531267,0.8112493539431783,0.0001055361615084835,negativo,negativo,True,False,muy debil
todos_596_registros,T2M_MIN,596,-0.050390964956594536,0.21929755656698605,-0.006660989738635005,0.871088593633647,0.5277519421286998,0.9661023397779878,0.04372997521795953,negativo,negativo,True,False,muy debil
todos_596_registros,WS2M,596,0.041000390649216796,0.31766586025074606,0.0037301421776201786,0.9275930936866295,0.633415364533062,0.9661023397779878,0.037270248471596615,positivo,positivo,True,False,muy debil
todos_596_registros,WS10M,596,0.029408267999427178,0.4736239703098228,0.0029816312245964593,0.942093993420857,0.6651740051759569,0.9661023397779878,0.02642663677483072,positivo,positivo,True,False,muy debil
todos_596_registros,ALLSKY_SFC_LW_DWN,596,-0.02598749510435246,0.5265960874309659,-0.001744414143975239,0.9661023397779878,0.6651740051759569,0.9661023397779878,0.024243080960377222,negativo,negativo,True,False,muy debil
sensibilidad_2020_2023_sin_2024,latitud,479,-0.3975501606732968,1.3791676276448263e-19,-0.10779987840599695,0.018273348201720756,3.310002306347583e-18,0.19518297313899144,0.2897502822672998,negativo,negativo,True,False,debil
sensibilidad_2020_2023_sin_2024,CLOUD_AMT,479,-0.042624750281059665,0.3519187812382553,-0.10439417520514452,0.022309587837630245,0.7038375624765106,0.19518297313899144,0.061769424924084854,negativo,negativo,True,False,debil
sensibilidad_2020_2023_sin_2024,BIMESTRE_sin,479,0.09966089610419698,0.029189449687731395,0.10283781261273721,0.02439787164237393,0.17513669812638838,0.19518297313899144,0.0031769165085402257,positivo,positivo,True,False,debil
sensibilidad_2020_2023_sin_2024,PRECTOTCORR,479,0.05467022154394917,0.2323671501960037,0.0909636540059306,0.0466171654657308,0.6100396449949015,0.21104121698394196,0.036293432461981426,positivo,positivo,True,False,muy debil
sensibilidad_2020_2023_sin_2024,PRECTOTCORR_SUM,479,0.052200100353490965,0.25418318541454227,0.08922060612186727,0.05100000021941426,0.6100396449949015,0.21104121698394196,0.03702050576837631,positivo,positivo,True,False,muy debil
sensibilidad_2020_2023_sin_2024,ALLSKY_SFC_LW_DWN,479,0.015614281050963436,0.7332066135658167,0.08744611879573863,0.055809997219187,0.8433383610870803,0.21104121698394196,0.0718318377447752,positivo,positivo,True,False,muy debil
sensibilidad_2020_2023_sin_2024,longitud,479,-0.17020400923921875,0.0001820482124064941,0.08548643508930834,0.06155368828698307,0.002184578548877929,0.21104121698394196,0.08471757414991041,negativo,positivo,False,False,muy debil
sensibilidad_2020_2023_sin_2024,ALLSKY_SRF_ALB,479,-0.03644452370909228,0.42614378689673604,-0.07942766539812995,0.08246453439393704,0.7131780583712162,0.24739360318181114,0.04298314168903768,negativo,negativo,True,False,muy debil
sensibilidad_2020_2023_sin_2024,QV2M,479,-0.003209786707088897,0.9441409304583346,0.07511172353955164,0.1006054823857199,0.9441409304583347,0.2682812863619197,0.07190193683246275,negativo,positivo,False,False,muy debil
sensibilidad_2020_2023_sin_2024,año,479,-0.011061101449306634,0.8091994600894331,0.05427599531000781,0.23575714249319465,0.8827630473702907,0.5658171419836672,0.04321489386070118,negativo,positivo,False,False,muy debil
sensibilidad_2020_2023_sin_2024,PS,479,-0.1358202525103841,0.002895509337071815,-0.0422322939294493,0.35637448252270143,0.023164074696574517,0.6202034057025038,0.0935879585809348,negativo,negativo,True,False,muy debil
sensibilidad_2020_2023_sin_2024,GWETTOP,479,0.04456797813274602,0.3303778791421131,0.041174193472815875,0.36856311718248547,0.7038375624765106,0.6202034057025038,0.003393784659930142,positivo,positivo,True,False,muy debil
sensibilidad_2020_2023_sin_2024,TS,479,-0.05801081725442211,0.205019800392224,-0.03901472051552743,0.3942294704038155,0.6100396449949015,0.6202034057025038,0.01899609673889468,negativo,negativo,True,False,muy debil
sensibilidad_2020_2023_sin_2024,T2M_MAX,479,-0.06821091977626745,0.13603895924038173,-0.03799406691276922,0.4067266606380273,0.6100396449949015,0.6202034057025038,0.030216852863498227,negativo,negativo,True,False,muy debil
sensibilidad_2020_2023_sin_2024,GWETPROF,479,0.019756155970957257,0.6662524515572591,0.03718352492192847,0.4168170269034086,0.8415820440723273,0.6202034057025038,0.01742736895097121,positivo,positivo,True,False,muy debil
sensibilidad_2020_2023_sin_2024,ONI,479,-0.03229729411381171,0.4806870637876978,0.03640411955329575,0.42665719320002404,0.7131780583712162,0.6202034057025038,0.004106825439484041,negativo,positivo,False,False,muy debil
sensibilidad_2020_2023_sin_2024,RH2M,479,0.03979220249871952,0.38486701150519004,0.035417061688190726,0.4393107457059402,0.7105237135480432,0.6202034057025038,0.0043751408105287964,positivo,positivo,True,False,muy debil
sensibilidad_2020_2023_sin_2024,GWETROOT,479,0.030520359864486528,0.5051677913462781,0.030542004722751866,0.5048657025187073,0.7131780583712162,0.6731542700249431,2.164485826533849e-05,positivo,positivo,True,False,muy debil
sensibilidad_2020_2023_sin_2024,T2M,479,-0.059165924887029195,0.19612907418028772,-0.024298492843476648,0.5957740714060515,0.6100396449949015,0.7332109393934368,0.03486743204355255,negativo,negativo,True,False,muy debil
sensibilidad_2020_2023_sin_2024,BIMESTRE_cos,479,0.007728435625865133,0.8660281669035427,0.02115070436271851,0.6442620662657554,0.9036815654645663,0.7332109393934368,0.013422268736853378,positivo,positivo,True,False,muy debil
sensibilidad_2020_2023_sin_2024,T2M_MIN,479,-0.05403343082682166,0.2378602333754527,-0.01883654536895631,0.6809132131034457,0.6100396449949015,0.7332109393934368,0.035196885457865354,negativo,negativo,True,False,muy debil
sensibilidad_2020_2023_sin_2024,WS2M,479,0.03211910743586527,0.4831125114547546,0.01816550967967611,0.6916878510817345,0.7131780583712162,0.7332109393934368,0.013953597756189158,positivo,positivo,True,False,muy debil
sensibilidad_2020_2023_sin_2024,WS10M,479,0.021137976373867755,0.644461411907291,0.015985377918743673,0.7271153678802496,0.8415820440723273,0.7332109393934368,0.005152598455124082,positivo,positivo,True,False,muy debil
sensibilidad_2020_2023_sin_2024,ALLSKY_SFC_SW_DWN,479,-0.015327763517701968,0.7379210659511952,-0.01561401787419531,0.7332109393934367,0.8433383610870803,0.7332109393934368,0.0002862543564933432,negativo,negativo,True,False,muy debil
